direccion_via_nombre,direccion_numero,contacto_web,direccion_coor_y,direccion_coor_x,direccion_via_tipo,centro_nombre,contacto_email1,telefonos,latitud_CM_x,longitud_CM_x,Renta,id_centro_titularidad,id_centro_titular,id_municipio,id_centro_codigo,id_dat_codigo,id_direccion_codigo_postal,id_comunidad
Vitoria,3,http://www.educa.madrid.org/ies.alonsodeavellan.alcala,4482286.0,471046.0,CALLE,ALONSO DE AVELLANEDA,ies.alonsodeavellan.alcala@educa.madrid.org,918881174,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Alalpardo,s/n,http://www.educa.madrid.org/ies.machado.alcala,4482393.0,468665.0,CALLE,ANTONIO MACHADO,ies.machado.alcala@educa.madrid.org,918892450,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
San Vidal,4,http://www.educa.madrid.org/cp.infantacatalina.alcala,4480481.0,468204.0,CALLE,INFANTA CATALINA,cp.infantacatalina.alcala@educa.madrid.org,918886145,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Alalpardo,s/n,http://www.madrid.org/dat_este/,4482381.0,468307.0,CALLE,DIRECCION AREA TERRITORIAL MADRID-ESTE,info.dateste@madrid.org,918872000,40.4165,-3.70256,36.247,1,1,3,300,3,,Comunidad de Madrid
Loeches,1,http://www.educa.madrid.org/ies.arquitectopedro.alcala,4482731.0,467874.0,CALLE,ARQUITECTO PEDRO GUMIEL,ies.arquitectopedro.alcala@educa.madrid.org,918898162-918898112,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Violeta,19,http://www.educa.madrid.org/cp.beatrizgalindo.alcala,4480541.0,468571.0,CALLE,BEATRIZ GALINDO,cp.beatrizgalindo.alcala@educa.madrid.org,918898064,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Teatinos,10,http://www.educa.madrid.org/cp.dulcinea.alcala,4482582.0,469511.0,CUSTA,DULCINEA,cp.dulcinea.alcala@educa.madrid.org,918895926,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
de Juan de Austria,17,http://www.educa.madrid.org/cp.juandeaustria.alcala,4481921.0,470231.0,AVDA,JUAN DE AUSTRIA,cp.juandeaustria.alcala@educa.madrid.org,918886350,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Nuestra Señora de Belén,6,http://www.educa.madrid.org/cp.santosninos.alcala,4480376.0,467646.0,AVDA,SANTOS NIÑOS,cp.santosninos.alcala@educa.madrid.org,918885346,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
del Ejército,5,http://www.educa.madrid.org/cp.manuelazana.alcala,4481009.0,468038.0,AVDA,MANUEL AZAÑA,cp.manuelazana.alcala@educa.madrid.org,918880041-689428929,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
del Río Guadarrama,1,http://www.educa.madrid.org/cp.iplacea.alcala,4480529.0,469235.0,CALLE,IPLACEA,cp.iplacea.alcala@educa.madrid.org,918898885,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
del Ejército,89,http://www.educa.madrid.org/ies.mateoaleman.alcala,4480917.0,467556.0,AVDA,MATEO ALEMAN,ies.mateoaleman.alcala@educa.madrid.org,918882431-918882264,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
San Vidal,8,http://www.educa.madrid.org/cp.quevedo.alcala,4480553.0,468177.0,CALLE,FRANCISCO DE QUEVEDO,cp.quevedo.alcala@educa.madrid.org,918807835,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Luis Madrona,15,http://www.educa.madrid.org/cp.miguelhernandez.alcala,4482198.0,470291.0,CALLE,MIGUEL HERNANDEZ,cp.miguelhernandez.alcala@educa.madrid.org,918883040-918835881,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Torrelaguna,29,http://www.educa.madrid.org/cp.garcialorca.alcala,4482063.0,468333.0,CALLE,GARCIA LORCA,cp.garcialorca.alcala@educa.madrid.org,918888202,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
de Castilla,29,http://www.educa.madrid.org/cpee.picasso.alcala,4481730.0,470466.0,AVDA,PABLO PICASSO,cpee.picasso.alcala@educa.madrid.org,918884094,40.4165,-3.70256,36.247,1,1,3,20,3,,Comunidad de Madrid
Jiménez de Quesada,7,http://www.educa.madrid.org/cp.machado.alcala,4480678.0,467160.0,CALLE,ANTONIO MACHADO,cp.machado.alcala@educa.madrid.org,918815557-918825820-605262785-605813973,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
de las Moreras,1,http://www.educa.madrid.org/ies.alonsoquijano.alcala,4480657.0,469033.0,PASEO,ALONSO QUIJANO,ies.alonsoquijano.alcala@educa.madrid.org,918821411-918821484,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Luis Vives,18,http://www.educa.madrid.org/cp.luisvives.alcala,4480474.0,468804.0,CALLE,LUIS VIVES,cp.luisvives.alcala@educa.madrid.org,918806791,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Torres de la Alameda,1,http://www.educa.madrid.org/cp.neruda.alcala,4483007.0,467966.0,CALLE,PABLO NERUDA,cp.neruda.alcala@educa.madrid.org,918815519-685538613,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
San Vidal,6,http://www.educa.madrid.org/cepa.alcala,4480446.0,468247.0,CALLE,DON JUAN I,cepa.alcala@educa.madrid.org,918815156,40.4165,-3.70256,36.247,1,1,3,31,3,,Comunidad de Madrid
de Adarga,2,http://www.educa.madrid.org/cp.cristobalcolon.alcala,4482053.0,469628.0,CALLE,CRISTOBAL COLON,cp.cristobalcolon.alcala@educa.madrid.org,918779409-639253774,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Cardenal Sandoval y Rojas,1,http://www.educa.madrid.org/ies.cardenalcisnero.alcala,4481236.0,468572.0,CALLE,CARDENAL CISNEROS,ies.cardenalcisnero.alcala@educa.madrid.org,918817263-918819164,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Ávila,1,http://www.educa.madrid.org/ies.alkalanahar.alcala,4481842.0,470983.0,CALLE,ALKALA-NAHAR,ies.alkalanahar.alcala@educa.madrid.org,918819311-918819311,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Alalpardo,s/n,http://www.educa.madrid.org/cpm.alcala,4482283.0,468592.0,CALLE,CONSERVATORIO PROFESIONAL DE MUSICA DE ALCALA DE HENARES,cpm.alcala@educa.madrid.org,918820545-918797395,40.4165,-3.70256,36.247,1,1,3,131,3,,Comunidad de Madrid
Senda Perdida,s/n,http://www.educa.madrid.org/ies.ignacioellacuria.alcala,4482770.0,469944.0,CALLE,IGNACIO ELLACURIA,ies.ignacioellacuria.alcala@educa.madrid.org,918823430,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Daoiz y Velarde,30,http://www.educa.madrid.org/eoi.alcala.alcala,4481696.0,468652.0,CALLE,E.O.I. DE ALCALA DE HENARES,eoi.alcala.alcala@educa.madrid.org,918800398,40.4165,-3.70256,36.247,1,1,3,80,3,,Comunidad de Madrid
Juan de Vergara,6,http://www.educa.madrid.org/eei.puertademadrid.alcala,4481063.0,468194.0,CALLE,PUERTA DE MADRID,eei.puertademadrid.alcala@educa.madrid.org,918814128,40.4165,-3.70256,36.247,1,1,3,3,3,,Comunidad de Madrid
Alejo Carpentier,1,http://www.educa.madrid.org/ies.maranon.alcala,4482616.0,468081.0,CALLE,DOCTOR MARAÑON,ies.maranon.alcala@educa.madrid.org,918788137,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Río Arlanza,34,http://www.educa.madrid.org/ies.atenea.alcala,4479791.0,468795.0,CALLE,ATENEA,ies.atenea.alcala@educa.madrid.org,918788896-918788907,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
José Caballero,2,http://www.educa.madrid.org/eei.loscuentos.alcala,4482091.0,470322.0,CALLE,LOS CUENTOS,eei.loscuentos.alcala@educa.madrid.org,918832770,40.4165,-3.70256,36.247,1,1,3,3,3,,Comunidad de Madrid
Córdoba,2,http://www.educa.madrid.org/eei.lacometa.alcala,4481891.0,470724.0,CALLE,LA COMETA,eei.lacometa.alcala@educa.madrid.org,918832356,40.4165,-3.70256,36.247,1,1,3,3,3,,Comunidad de Madrid
Rosalia de Castro,3,http://www.educa.madrid.org/cp.espartales.alcala,4484305.0,468502.0,CALLE,ESPARTALES,cp.espartales.alcala@educa.madrid.org,918832651-639365550,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Núñez de Guzmán,31,http://www.educa.madrid.org/ufil.elempecinado.alcala,4480671.0,467839.0,CALLE,EL EMPECINADO,ufil.elempecinado.alcala@educa.madrid.org,918788221-636844649,40.4165,-3.70256,36.247,1,1,3,34,3,,Comunidad de Madrid
Reyes Magos,13,http://www.educa.madrid.org/zcn.alcala,4482502.0,468025.0,AVDA,"ESTE-5, ALCALA DE HENARES",zcn.alcala@educa.madrid.org,918838709,40.4165,-3.70256,36.247,1,1,3,5,3,,Comunidad de Madrid
de Meco,k 4,http://www.educa.madrid.org/cepa.josehierro.alcala,4485882.0,472363.0,CTRA,JOSE HIERRO,cepa.josehierro.alcala@educa.madrid.org,918887061,40.4165,-3.70256,36.247,1,1,3,35,3,,Comunidad de Madrid
de Meco,k 4,http://www.educa.madrid.org/cepa.claracampoamor.alcala,4485882.0,472363.0,CTRA,CLARA CAMPOAMOR,cepa.claracampoamor.alcala@educa.madrid.org,918804011-669261548,40.4165,-3.70256,36.247,1,1,3,35,3,,Comunidad de Madrid
CAMINO DE LA ESGARAVITA,s/n,http://www.educa.madrid.org/ies.hosteleria.alcala,4482479.0,470579.0,CALLE,ESCUELA DE HOSTELERIA Y TURISMO,ies.hosteleria.alcala@educa.madrid.org,918802313,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Arturo Soria,3,http://www.educa.madrid.org/cp.lagarena.alcala,4481476.0,467116.0,CALLE,LA GARENA,cp.lagarena.alcala@educa.madrid.org,918863534,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Pio Baroja,7,http://www.educa.madrid.org/ies.lazarocarreter.alcala,4483836.0,468359.0,CALLE,LAZARO CARRETER,ies.lazarocarreter.alcala@educa.madrid.org,918770290,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Dámaso Alonso,34,http://www.educa.madrid.org/cp.mozart.alcala,4483138.0,468248.0,CALLE,MOZART,cp.mozart.alcala@educa.madrid.org,918784427-689708973,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Arturo Soria,5,http://www.educa.madrid.org/eei.donmeliton.alcala,4481398.0,466942.0,CALLE,DON MELITON,eei.donmeliton.alcala@educa.madrid.org,918786757-680519040,40.4165,-3.70256,36.247,1,1,3,3,3,,Comunidad de Madrid
Gonzalo Torrente Ballester,74,http://www.educa.madrid.org/cp.ernesthemingway.alcala,4483362.0,469261.0,CALLE,ERNEST HEMINGWAY,cp.ernesthemingway.alcala@educa.madrid.org,918784065,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Arturo Soria,7,http://www.educa.madrid.org/cp.antoniomingote.alcala,4481295.0,466805.0,CALLE,ANTONIO MINGOTE,cp.antoniomingote.alcala@educa.madrid.org,918786065,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Río Guadarrama,5,http://www.educa.madrid.org/cp.aliciadelarrocha.alcala,4480258.0,469224.0,CALLE,ALICIA DE LARROCHA,cp.aliciadelarrocha.alcala@educa.madrid.org,918899076,40.4165,-3.70256,36.247,1,1,3,14,3,,Comunidad de Madrid
Juan de Vergara,6,No hay página web,4481063.0,468194.0,CALLE,PUERTA DE MADRID (PROGRAMA DE CASA DE NIÑOS),No hay página web,918814128,40.4165,-3.70256,36.247,1,1,3,6,3,,Comunidad de Madrid
de Meco,s/n,http://www.educa.madrid.org/ah.principedeasturias.alcala,4484481.0,470457.0,CTRA,AULA HOSPITALARIA HOSP. UNIV. PRINCIPE DE ASTURIAS,ah.principedeasturias.alcala@educa.madrid.org,918878100-2490,40.4165,-3.70256,36.247,1,1,3,36,3,,Comunidad de Madrid
Arturo Soria,5,No hay página web,4481371.0,466934.0,CALLE,DON MELITON (PROGRAMA DE CASA DE NIÑOS),No hay página web,918786757-680519040,40.4165,-3.70256,36.247,1,1,3,6,3,,Comunidad de Madrid
DE EUROPA C/V CALLE JESUS GURIDI,,http://www.educa.madrid.org/ies.franciscadepedraza.alcala,4481514.0,467143.0,AVDA,FRANCISCA DE PEDRAZA,ies.franciscadepedraza.alcala@educa.madrid.org,,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Gardenia,29,http://www.educa.madrid.org/ies.isidradeguzman.alcala,4480403.0,468490.0,CALLE,ISIDRA DE GUZMAN,ies.isidradeguzman.alcala@educa.madrid.org,,40.4165,-3.70256,36.247,1,1,3,42,3,,Comunidad de Madrid
Alalpardo,s/n,http://www.educa.madrid.org/ea.albertocorazon.alcala,4482393.0,468665.0,CALLE,ALBERTO CORAZON,ea.albertocorazon.alcala@educa.madrid.org,,40.4165,-3.70256,36.247,1,1,3,103,3,,Comunidad de Madrid
Entrepeñas,2,http://www.educa.madrid.org/eoep.alcala,4479961.0,469059.0,CALLE,EQUIPO GENERAL ALCALA DE HENARES,eoep.alcala@educa.madrid.org,918814145-918814115,40.4165,-3.70256,36.247,1,1,3,206,3,,Comunidad de Madrid
Entrepeñas,2,http://www.educa.madrid.org/eoep.at.alcala,4479961.0,469059.0,CALLE,EQUIPO ATENCION TEMPRANA ALCALA DE HENARES,eoep.at.alcala@educa.madrid.org,918836280,40.4165,-3.70256,36.247,1,1,3,205,3,,Comunidad de Madrid
Alfonso de Alcalá,2,http://www.educa.madrid.org/cet.puertademadrid.alcala,4480738.0,467592.0,CALLE,PUERTA DE MADRID,cet.puertademadrid.alcala@educa.madrid.org,,40.4165,-3.70256,36.247,1,1,3,38,3,,Comunidad de Madrid
Luis Vives,17,http://innovacionyformacion.educa.madrid.org/CTIF-Este,4480519.0,468893.0,CALLE,MADRID-ESTE,ctif.madrideste@educa.madrid.org,,40.4165,-3.70256,36.247,1,1,3,412,3,,Comunidad de Madrid
Violeta,17,http://www.educa.madrid.org/eei.carrusel.alcala,4480589.0,468499.0,CALLE,CARRUSEL,eei.carrusel.alcala@educa.madrid.org,918818387,40.4165,-3.70256,36.247,1,2,3,3,3,,Comunidad de Madrid
Arcipreste de Hita,4,http://www.educa.madrid.org/cepa.emunicipaladultos.alcala,4481041.0,469058.0,CALLE,ESCUELA MUNICIPAL DE EDUCACION DE ADULTOS,cepa.emunicipaladultos.alcala@educa.madrid.org,918824691,40.4165,-3.70256,36.247,1,2,3,32,3,,Comunidad de Madrid
Reyes Católicos,24,http://www.educa.madrid.org/cn.tucan.alcala,4480656.0,468138.0,AVDA,TUCAN,cn.tucan.alcala@educa.madrid.org,918827463,40.4165,-3.70256,36.247,1,2,3,6,3,,Comunidad de Madrid
Fuente del Sol,85,http://www.educa.madrid.org/eei.galatea.alcala,4480035.0,468889.0,CALLE,GALATEA,eei.galatea.alcala@educa.madrid.org,919412837-619225227,40.4165,-3.70256,36.247,1,2,3,3,3,,Comunidad de Madrid
Valverde de Alcala,1,http://www.educa2.madrid.org/web/centro.eei.arcoiris.alcala,4482353.0,468910.0,CALLE,ARCO IRIS,eei.arcoiris.alcala@educa.madrid.org,918811481,40.4165,-3.70256,36.247,1,2,3,3,3,,Comunidad de Madrid
Reyes Magos,13,http://www.educa.madrid.org/cn.garabatos.alcala,4482502.0,468025.0,AVDA,GARABATOS,cn.garabatos.alcala@educa.madrid.org,918802243,40.4165,-3.70256,36.247,1,2,3,6,3,,Comunidad de Madrid
José Ruiz Azorín,65,http://www.educa.madrid.org/eei.losmolinos.alcala,4484200.0,468911.0,CALLE,LOS MOLINOS,eei.losmolinos.alcala@educa.madrid.org,918831121-660620772,40.4165,-3.70256,36.247,1,2,3,3,3,,Comunidad de Madrid
Gonzalo Torrente Ballester,s/n,http://www.educa.madrid.org/eei.laflautamagica.alcala,4483164.0,468717.0,CALLE,LA FLAUTA MAGICA,eei.laflautamagica.alcala@educa.madrid.org,918020595-918020595,40.4165,-3.70256,36.247,1,2,3,3,3,,Comunidad de Madrid
Barberán y Collar,21,http://www.educa.madrid.org/cp.ciudaddelaire.alcala,4483244.0,470796.0,CALLE,CIUDAD DEL AIRE,cp.ciudaddelaire.alcala@educa.madrid.org,918880343,40.4165,-3.70256,36.247,1,3,3,14,3,,Comunidad de Madrid
"DE SAN DIEGO, S/N - EDIFICIO SAN ILDEFONSO",,No hay página web,,,PLAZA,UNIVERSIDAD DE ALCALA DE HENARES,No hay página web,918882200,40.4165,-3.70256,36.247,1,7,3,401,3,,Comunidad de Madrid
Escritorios,6,http://www.colegiofilipensealcaladehenares.es,4481221.0,468895.0,CALLE,SAGRADO CORAZON DE JESUS,cc.scorazondejesus.alcala@educa.madrid.org,918880654-918880073,40.4165,-3.70256,36.247,2,17,3,72,3,,Comunidad de Madrid
San Felipe Neri,4,www.colegiosanfelipe.es,4481288.0,468721.0,CALLE,SAN FELIPE NERI,cc.sanfelipeneri.alcala@educa.madrid.org,918881397,40.4165,-3.70256,36.247,2,18,3,15,3,,Comunidad de Madrid
Lope de Figueroa,27,http://www.escolapiosalcala.es,4481495.0,470018.0,AVDA,ESCUELAS PIAS,cc.escuelaspias.alcala@educa.madrid.org,918893158-918880356,40.4165,-3.70256,36.247,2,19,3,72,3,,Comunidad de Madrid
Huertas,4,http://www.smprovidencia-alcala.es,4482033.0,469022.0,CALLE,SANTA MARIA DE LA PROVIDENCIA,cc.smdelaprovidencia.alcala@educa.madrid.org,918819409,40.4165,-3.70256,36.247,2,20,3,72,3,,Comunidad de Madrid
Daganzo,"k 2,5",http://www.educa.madrid.org/cc.sangabriel.alcala,4483263.0,467137.0,CTRA,SAN GABRIEL,cc.sangabriel.alcala@educa.madrid.org,918890650,40.4165,-3.70256,36.247,2,21,3,72,3,,Comunidad de Madrid
Concepción Arenal,3,http://www.sanignacioalcala.es,4482916.0,469041.0,CALLE,SAN IGNACIO DE LOYOLA,cc.sanignaciodeloyola.alcala@educa.madrid.org,918871114-918881400,40.4165,-3.70256,36.247,2,22,3,72,3,,Comunidad de Madrid
Santiago,29,http://www.calasanzalcala.com,4481493.0,468941.0,CALLE,CALASANZ,cc.calasanz.alcala@educa.madrid.org,918892900,40.4165,-3.70256,36.247,2,23,3,72,3,,Comunidad de Madrid
de Luis de Medina,12,http://www.colegiolopedevega.com,4482228.0,469744.0,CALLE,LOPE DE VEGA,cc.lopedevega.alcala@educa.madrid.org,918893879,40.4165,-3.70256,36.247,2,24,3,72,3,,Comunidad de Madrid
LOPE FIGUEROA,27,No hay página web,4481495.0,470018.0,AVDA,ESCUELAS PIAS PROFESIONALES-ALCALA DE HENARES,cc.escuelaspiasprofesionales.alcala@educa.madrid.org,,40.4165,-3.70256,36.247,2,158,3,21,3,,Comunidad de Madrid
Santander,1,http://www.educa.madrid.org/cc.anapellegrini.alcala,4481798.0,470615.0,CALLE,COLEGIO ANA PELLEGRINI,cc.anapellegrini.alcala@educa.madrid.org,918894642,40.4165,-3.70256,36.247,2,294,3,72,3,,Comunidad de Madrid
Lope de Vega,1,http://www.centrocep.es,4482140.0,469455.0,CALLE,CENTRO DE ESTUDIOS PROFESIONALES (C.E.P.),cc.cep.alcala@educa.madrid.org,918881475,40.4165,-3.70256,36.247,2,299,3,58,3,,Comunidad de Madrid
Octavio Paz,29,https://www.gsdeducacion.com/ ,4483691.0,469149.0,CALLE,GSD ALCALA,cc.gredossandiego.alcala@educa.madrid.org,918303864,40.4165,-3.70256,36.247,2,407,3,72,3,,Comunidad de Madrid
Alejo Carpentier,27,http://www.educa.madrid.org/cc.alborada.alcala      www.colegioalborada.es,4482761.0,468847.0,CALLE,COLEGIO ALBORADA,cc.alborada.alcala@educa.madrid.org,918301912,40.4165,-3.70256,36.247,2,438,3,72,3,,Comunidad de Madrid
Río Tajuña,2,http://www.salesianosalcala.com,4479918.0,469239.0,CALLE,LAS NAVES SALESIANOS ALCALA,cc.lasnavessalesianos.alcala@educa.madrid.org,918816939,40.4165,-3.70256,36.247,2,448,3,58,3,,Comunidad de Madrid
Batalla de Lepanto,1,http://www.educa.madrid.org/cc.minerva.alcala,4481732.0,469753.0,CALLE,MINERVA,cc.minerva.alcala@educa.madrid.org,918881362-918835635,40.4165,-3.70256,36.247,3,467,3,72,3,,Comunidad de Madrid
de Giner de los Ríos,12,http://www.leoleo.es,4481403.0,469591.0,CALLE,LEO LEO,escuelainfantil@leoleo.es,679358418-689588824-918823311-689586919,40.4165,-3.70256,36.247,3,631,3,8,3,,Comunidad de Madrid
Daganzo,"k1,5",www.losabetitos.com,4482669.0,467640.0,CTRA,ABETITOS AND CHILDREN,info@losabetitos.com,918787622-689794149,40.4165,-3.70256,36.247,3,658,3,8,3,,Comunidad de Madrid
de la Encomienda,23,No hay página web,4481643.0,469566.0,CALLE,PARQUE BABY ALCALA,babyalcala@babyalcalaescuelainfantil.com,910732866-667462974,40.4165,-3.70256,36.247,3,673,3,8,3,,Comunidad de Madrid
de los Curas,26,No hay página web,4480802.0,468814.0,PASEO,MONTESSORI VILLAGE ALCALA,alcala@montessorivillage.es,673492985,40.4165,-3.70256,36.247,3,732,3,8,3,,Comunidad de Madrid
de Pasionistas,10,www.cesurformacion.com,4484254.0,467073.0,AVDA,CESUR OPEN SAN GABRIEL,cesuropen@cesurformacion.com,910053936-918192018,40.4165,-3.70256,36.247,3,770,3,58,3,,Comunidad de Madrid
Brigadas Internacionales,4,http://www.reinacristina.info,4484338.0,470014.0,CALLE,REINA CRISTINA III,gestion@reinacristina.info,918024712-605842065,40.4165,-3.70256,36.247,3,778,3,8,3,,Comunidad de Madrid
de la Alcarria,7,No hay página web,4482441.0,469126.0,AVDA,FANTASY SCHOOL,escuelainfantilfantasyschool@gmail.com,912618668,40.4165,-3.70256,36.247,3,780,3,8,3,,Comunidad de Madrid
Dámaso Alonso,7,http://www.lagranfamilia.es,4482612.0,468282.0,CALLE,LA GRAN FAMILIA,escuelainfantil@lagranfamilia.es,918808872-601282931,40.4165,-3.70256,36.247,3,805,3,8,3,,Comunidad de Madrid
Ciudad Residencial Universitaria,2,No hay página web,4484155.0,470524.0,LUGAR,MI CASITA,alfredo@escuelainfantilmicasita.com,918835984-670448052,40.4165,-3.70256,36.247,3,813,3,8,3,,Comunidad de Madrid
Obispo Acuña,s/n,No hay página web,4480731.0,468650.0,CALLE,ASOCIADOS KYM,kakobazan3@gmail.com,918881672-609049939,40.4165,-3.70256,36.247,3,849,3,8,3,,Comunidad de Madrid
Carabaña,8,No hay página web,4482343.0,469235.0,CALLE,MI COLE,educacioninfantilmicole@yahoo.es,918789974-601229773,40.4165,-3.70256,36.247,3,912,3,8,3,,Comunidad de Madrid
