direccion_via_nombre,contacto_telefono2,contacto_telefono3,direccion_numero,contacto_telefono1,contacto_web,contacto_fax,direccion_coor_y,direccion_coor_x,direccion_via_tipo,centro_nombre,contacto_telefono4,contacto_email1,id_centro_titularidad,id_centro_titular,id_municipio,id_centro_codigo,id_dat_codigo,id_direccion_codigo_postal
Loeches,918898112,,1,918898162,http://www.educa.madrid.org/ies.arquitectopedro.alcala,,4482731.0,467874.0,CALLE,ARQUITECTO PEDRO GUMIEL,,ies.arquitectopedro.alcala@educa.madrid.org,1,1,3,42,3,
Violeta,,,19,918898064,http://www.educa.madrid.org/cp.beatrizgalindo.alcala,918812912,4480541.0,468571.0,CALLE,BEATRIZ GALINDO,,cp.beatrizgalindo.alcala@educa.madrid.org,1,1,3,14,3,
Teatinos,,,10,918895926,http://www.educa.madrid.org/cp.dulcinea.alcala,918829312,4482582.0,469511.0,CUSTA,DULCINEA,,cp.dulcinea.alcala@educa.madrid.org,1,1,3,14,3,
de Juan de Austria,,,17,918886350,http://www.educa.madrid.org/cp.juandeaustria.alcala,918886350,4481921.0,470231.0,AVDA,JUAN DE AUSTRIA,,cp.juandeaustria.alcala@educa.madrid.org,1,1,3,14,3,
Nuestra Señora de Belén,,,6,918885346,http://www.educa.madrid.org/cp.santosninos.alcala,918885346,4480376.0,467646.0,AVDA,SANTOS NIÑOS,,cp.santosninos.alcala@educa.madrid.org,1,1,3,14,3,
del Ejército,689428929,,5,918880041,http://www.educa.madrid.org/cp.manuelazana.alcala,918880041,4481009.0,468038.0,AVDA,MANUEL AZAÑA,,cp.manuelazana.alcala@educa.madrid.org,1,1,3,14,3,
del Río Guadarrama,,,1,918898885,http://www.educa.madrid.org/cp.iplacea.alcala,918837179,4480529.0,469235.0,CALLE,IPLACEA,,cp.iplacea.alcala@educa.madrid.org,1,1,3,14,3,
del Ejército,918882264,,89,918882431,http://www.educa.madrid.org/ies.mateoaleman.alcala,918889710,4480917.0,467556.0,AVDA,MATEO ALEMAN,,ies.mateoaleman.alcala@educa.madrid.org,1,1,3,42,3,
San Vidal,,,8,918807835,http://www.educa.madrid.org/cp.quevedo.alcala,918807835,4480553.0,468177.0,CALLE,FRANCISCO DE QUEVEDO,,cp.quevedo.alcala@educa.madrid.org,1,1,3,14,3,
Luis Madrona,918835881,,15,918883040,http://www.educa.madrid.org/cp.miguelhernandez.alcala,918883040,4482198.0,470291.0,CALLE,MIGUEL HERNANDEZ,,cp.miguelhernandez.alcala@educa.madrid.org,1,1,3,14,3,
Torrelaguna,,,29,918888202,http://www.educa.madrid.org/cp.garcialorca.alcala,918776389,4482063.0,468333.0,CALLE,GARCIA LORCA,,cp.garcialorca.alcala@educa.madrid.org,1,1,3,14,3,
de Castilla,,,29,918884094,http://www.educa.madrid.org/cpee.picasso.alcala,918820233,4481730.0,470466.0,AVDA,PABLO PICASSO,,cpee.picasso.alcala@educa.madrid.org,1,1,3,20,3,
Jiménez de Quesada,918825820,605262785,7,918815557,http://www.educa.madrid.org/cp.machado.alcala,918815557,4480678.0,467160.0,CALLE,ANTONIO MACHADO,605813973,cp.machado.alcala@educa.madrid.org,1,1,3,14,3,
de las Moreras,918821484,,1,918821411,http://www.educa.madrid.org/ies.alonsoquijano.alcala,918817229,4480657.0,469033.0,PASEO,ALONSO QUIJANO,,ies.alonsoquijano.alcala@educa.madrid.org,1,1,3,42,3,
Luis Vives,,,18,918806791,http://www.educa.madrid.org/cp.luisvives.alcala,,4480474.0,468804.0,CALLE,LUIS VIVES,,cp.luisvives.alcala@educa.madrid.org,1,1,3,14,3,
Torres de la Alameda,685538613,,1,918815519,http://www.educa.madrid.org/cp.neruda.alcala,918835880,4483007.0,467966.0,CALLE,PABLO NERUDA,,cp.neruda.alcala@educa.madrid.org,1,1,3,14,3,
San Vidal,,,6,918815156,http://www.educa.madrid.org/cepa.alcala,,4480446.0,468247.0,CALLE,DON JUAN I,,cepa.alcala@educa.madrid.org,1,1,3,31,3,
de Adarga,639253774,,2,918779409,http://www.educa.madrid.org/cp.cristobalcolon.alcala,918835939,4482053.0,469628.0,CALLE,CRISTOBAL COLON,,cp.cristobalcolon.alcala@educa.madrid.org,1,1,3,14,3,
Cardenal Sandoval y Rojas,918819164,,1,918817263,http://www.educa.madrid.org/ies.cardenalcisnero.alcala,918817347,4481236.0,468572.0,CALLE,CARDENAL CISNEROS,,ies.cardenalcisnero.alcala@educa.madrid.org,1,1,3,42,3,
Ávila,918819311,,1,918819311,http://www.educa.madrid.org/ies.alkalanahar.alcala,918819028,4481842.0,470983.0,CALLE,ALKALA-NAHAR,,ies.alkalanahar.alcala@educa.madrid.org,1,1,3,42,3,
Alalpardo,918797395,,s/n,918820545,http://www.educa.madrid.org/cpm.alcala,918828950,4482283.0,468592.0,CALLE,CONSERVATORIO PROFESIONAL DE MUSICA DE ALCALA DE HENARES,,cpm.alcala@educa.madrid.org,1,1,3,131,3,
Senda Perdida,,,s/n,918823430,http://www.educa.madrid.org/ies.ignacioellacuria.alcala,918825565,4482770.0,469944.0,CALLE,IGNACIO ELLACURIA,,ies.ignacioellacuria.alcala@educa.madrid.org,1,1,3,42,3,
Daoiz y Velarde,,,30,918800398,http://www.educa.madrid.org/eoi.alcala.alcala,918800393,4481696.0,468652.0,CALLE,E.O.I. DE ALCALA DE HENARES,,eoi.alcala.alcala@educa.madrid.org,1,1,3,80,3,
Juan de Vergara,,,6,918814128,http://www.educa.madrid.org/eei.puertademadrid.alcala,918814128,4481063.0,468194.0,CALLE,PUERTA DE MADRID,,eei.puertademadrid.alcala@educa.madrid.org,1,1,3,3,3,
Alejo Carpentier,,,1,918788137,http://www.educa.madrid.org/ies.maranon.alcala,918826047,4482616.0,468081.0,CALLE,DOCTOR MARAÑON,,ies.maranon.alcala@educa.madrid.org,1,1,3,42,3,
Río Arlanza,918788907,,34,918788896,http://www.educa.madrid.org/ies.atenea.alcala,918789214,4479791.0,468795.0,CALLE,ATENEA,,ies.atenea.alcala@educa.madrid.org,1,1,3,42,3,
José Caballero,,,2,918832770,http://www.educa.madrid.org/eei.loscuentos.alcala,918832770,4482091.0,470322.0,CALLE,LOS CUENTOS,,eei.loscuentos.alcala@educa.madrid.org,1,1,3,3,3,
Córdoba,,,2,918832356,http://www.educa.madrid.org/eei.lacometa.alcala,918832356,4481891.0,470724.0,CALLE,LA COMETA,,eei.lacometa.alcala@educa.madrid.org,1,1,3,3,3,
Rosalia de Castro,639365550,,3,918832651,http://www.educa.madrid.org/cp.espartales.alcala,918870815,4484305.0,468502.0,CALLE,ESPARTALES,,cp.espartales.alcala@educa.madrid.org,1,1,3,14,3,
Núñez de Guzmán,636844649,,31,918788221,http://www.educa.madrid.org/ufil.elempecinado.alcala,,4480671.0,467839.0,CALLE,EL EMPECINADO,,ufil.elempecinado.alcala@educa.madrid.org,1,1,3,34,3,
Reyes Magos,,,13,918838709,http://www.educa.madrid.org/zcn.alcala,,4482502.0,468025.0,AVDA,"ESTE-5, ALCALA DE HENARES",,zcn.alcala@educa.madrid.org,1,1,3,5,3,
de Meco,,,k 4,918887061,http://www.educa.madrid.org/cepa.josehierro.alcala,,4485882.0,472363.0,CTRA,JOSE HIERRO,,cepa.josehierro.alcala@educa.madrid.org,1,1,3,35,3,
de Meco,669261548,,k 4,918804011,http://www.educa.madrid.org/cepa.claracampoamor.alcala,918807965,4485882.0,472363.0,CTRA,CLARA CAMPOAMOR,,cepa.claracampoamor.alcala@educa.madrid.org,1,1,3,35,3,
CAMINO DE LA ESGARAVITA,,,s/n,918802313,http://www.educa.madrid.org/ies.hosteleria.alcala,,4482479.0,470579.0,CALLE,ESCUELA DE HOSTELERIA Y TURISMO,,ies.hosteleria.alcala@educa.madrid.org,1,1,3,42,3,
Arturo Soria,,,3,918863534,http://www.educa.madrid.org/cp.lagarena.alcala,918863556,4481476.0,467116.0,CALLE,LA GARENA,,cp.lagarena.alcala@educa.madrid.org,1,1,3,14,3,
Pio Baroja,,,7,918770290,http://www.educa.madrid.org/ies.lazarocarreter.alcala,918833019,4483836.0,468359.0,CALLE,LAZARO CARRETER,,ies.lazarocarreter.alcala@educa.madrid.org,1,1,3,42,3,
Dámaso Alonso,689708973,,34,918784427,http://www.educa.madrid.org/cp.mozart.alcala,918784425,4483138.0,468248.0,CALLE,MOZART,,cp.mozart.alcala@educa.madrid.org,1,1,3,14,3,
Arturo Soria,680519040,,5,918786757,http://www.educa.madrid.org/eei.donmeliton.alcala,,4481398.0,466942.0,CALLE,DON MELITON,,eei.donmeliton.alcala@educa.madrid.org,1,1,3,3,3,
Gonzalo Torrente Ballester,,,74,918784065,http://www.educa.madrid.org/cp.ernesthemingway.alcala,918303988,4483362.0,469261.0,CALLE,ERNEST HEMINGWAY,,cp.ernesthemingway.alcala@educa.madrid.org,1,1,3,14,3,
Arturo Soria,,,7,918786065,http://www.educa.madrid.org/cp.antoniomingote.alcala,,4481295.0,466805.0,CALLE,ANTONIO MINGOTE,,cp.antoniomingote.alcala@educa.madrid.org,1,1,3,14,3,
Río Guadarrama,,,5,918899076,http://www.educa.madrid.org/cp.aliciadelarrocha.alcala,918899076,4480258.0,469224.0,CALLE,ALICIA DE LARROCHA,,cp.aliciadelarrocha.alcala@educa.madrid.org,1,1,3,14,3,
Juan de Vergara,,,6,918814128,,918814128,4481063.0,468194.0,CALLE,PUERTA DE MADRID (PROGRAMA DE CASA DE NIÑOS),,,1,1,3,6,3,
de Meco,2490,,s/n,918878100,http://www.educa.madrid.org/ah.principedeasturias.alcala,,4484481.0,470457.0,CTRA,AULA HOSPITALARIA HOSP. UNIV. PRINCIPE DE ASTURIAS,,ah.principedeasturias.alcala@educa.madrid.org,1,1,3,36,3,
Arturo Soria,680519040,,5,918786757,,,4481371.0,466934.0,CALLE,DON MELITON (PROGRAMA DE CASA DE NIÑOS),,,1,1,3,6,3,
DE EUROPA C/V CALLE JESUS GURIDI,,,,,http://www.educa.madrid.org/ies.franciscadepedraza.alcala,,4481514.0,467143.0,AVDA,FRANCISCA DE PEDRAZA,,ies.franciscadepedraza.alcala@educa.madrid.org,1,1,3,42,3,
Gardenia,,,29,,http://www.educa.madrid.org/ies.isidradeguzman.alcala,,4480403.0,468490.0,CALLE,ISIDRA DE GUZMAN,,ies.isidradeguzman.alcala@educa.madrid.org,1,1,3,42,3,
Alalpardo,,,s/n,,http://www.educa.madrid.org/ea.albertocorazon.alcala,,4482393.0,468665.0,CALLE,ALBERTO CORAZON,,ea.albertocorazon.alcala@educa.madrid.org,1,1,3,103,3,
Entrepeñas,918814115,,2,918814145,http://www.educa.madrid.org/eoep.alcala,918787310,4479961.0,469059.0,CALLE,EQUIPO GENERAL ALCALA DE HENARES,,eoep.alcala@educa.madrid.org,1,1,3,206,3,
Entrepeñas,,,2,918836280,http://www.educa.madrid.org/eoep.at.alcala,918836280,4479961.0,469059.0,CALLE,EQUIPO ATENCION TEMPRANA ALCALA DE HENARES,,eoep.at.alcala@educa.madrid.org,1,1,3,205,3,
Alfonso de Alcalá,,,2,,http://www.educa.madrid.org/cet.puertademadrid.alcala,,4480738.0,467592.0,CALLE,PUERTA DE MADRID,,cet.puertademadrid.alcala@educa.madrid.org,1,1,3,38,3,
Luis Vives,,,17,,http://innovacionyformacion.educa.madrid.org/CTIF-Este,,4480519.0,468893.0,CALLE,MADRID-ESTE,,ctif.madrideste@educa.madrid.org,1,1,3,412,3,
Violeta,,,17,918818387,http://www.educa.madrid.org/eei.carrusel.alcala,918818387,4480589.0,468499.0,CALLE,CARRUSEL,,eei.carrusel.alcala@educa.madrid.org,1,2,3,3,3,
Arcipreste de Hita,,,4,918824691,http://www.educa.madrid.org/cepa.emunicipaladultos.alcala,,4481041.0,469058.0,CALLE,ESCUELA MUNICIPAL DE EDUCACION DE ADULTOS,,cepa.emunicipaladultos.alcala@educa.madrid.org,1,2,3,32,3,
Reyes Católicos,,,24,918827463,http://www.educa.madrid.org/cn.tucan.alcala,918827463,4480656.0,468138.0,AVDA,TUCAN,,cn.tucan.alcala@educa.madrid.org,1,2,3,6,3,
Fuente del Sol,619225227,,85,919412837,http://www.educa.madrid.org/eei.galatea.alcala,,4480035.0,468889.0,CALLE,GALATEA,,eei.galatea.alcala@educa.madrid.org,1,2,3,3,3,
Valverde de Alcala,,,1,918811481,http://www.educa2.madrid.org/web/centro.eei.arcoiris.alcala,918811481,4482353.0,468910.0,CALLE,ARCO IRIS,,eei.arcoiris.alcala@educa.madrid.org,1,2,3,3,3,
Reyes Magos,,,13,918802243,http://www.educa.madrid.org/cn.garabatos.alcala,,4482502.0,468025.0,AVDA,GARABATOS,,cn.garabatos.alcala@educa.madrid.org,1,2,3,6,3,
José Ruiz Azorín,660620772,,65,918831121,http://www.educa.madrid.org/eei.losmolinos.alcala,,4484200.0,468911.0,CALLE,LOS MOLINOS,,eei.losmolinos.alcala@educa.madrid.org,1,2,3,3,3,
Gonzalo Torrente Ballester,918020595,,s/n,918020595,http://www.educa.madrid.org/eei.laflautamagica.alcala,917080207,4483164.0,468717.0,CALLE,LA FLAUTA MAGICA,,eei.laflautamagica.alcala@educa.madrid.org,1,2,3,3,3,
Barberán y Collar,,,21,918880343,http://www.educa.madrid.org/cp.ciudaddelaire.alcala,918833079,4483244.0,470796.0,CALLE,CIUDAD DEL AIRE,,cp.ciudaddelaire.alcala@educa.madrid.org,1,3,3,14,3,
"DE SAN DIEGO, S/N - EDIFICIO SAN ILDEFONSO",,,,918882200,,0,,,PLAZA,UNIVERSIDAD DE ALCALA DE HENARES,,,1,7,3,401,3,
Escritorios,918880073,,6,918880654,http://www.colegiofilipensealcaladehenares.es,918836927,4481221.0,468895.0,CALLE,SAGRADO CORAZON DE JESUS,,cc.scorazondejesus.alcala@educa.madrid.org,2,17,3,72,3,
San Felipe Neri,,,4,918881397,www.colegiosanfelipe.es,918881397,4481288.0,468721.0,CALLE,SAN FELIPE NERI,,cc.sanfelipeneri.alcala@educa.madrid.org,2,18,3,15,3,
Lope de Figueroa,918880356,,27,918893158,http://www.escolapiosalcala.es,918820850,4481495.0,470018.0,AVDA,ESCUELAS PIAS,,cc.escuelaspias.alcala@educa.madrid.org,2,19,3,72,3,
Huertas,,,4,918819409,http://www.smprovidencia-alcala.es,,4482033.0,469022.0,CALLE,SANTA MARIA DE LA PROVIDENCIA,,cc.smdelaprovidencia.alcala@educa.madrid.org,2,20,3,72,3,
Daganzo,,,"k 2,5",918890650,http://www.educa.madrid.org/cc.sangabriel.alcala,918871277,4483263.0,467137.0,CTRA,SAN GABRIEL,,cc.sangabriel.alcala@educa.madrid.org,2,21,3,72,3,
Concepción Arenal,918881400,,3,918871114,http://www.sanignacioalcala.es,918832815,4482916.0,469041.0,CALLE,SAN IGNACIO DE LOYOLA,,cc.sanignaciodeloyola.alcala@educa.madrid.org,2,22,3,72,3,
Santiago,,,29,918892900,http://www.calasanzalcala.com,,4481493.0,468941.0,CALLE,CALASANZ,,cc.calasanz.alcala@educa.madrid.org,2,23,3,72,3,
de Luis de Medina,,,12,918893879,http://www.colegiolopedevega.com,918892021,4482228.0,469744.0,CALLE,LOPE DE VEGA,,cc.lopedevega.alcala@educa.madrid.org,2,24,3,72,3,
LOPE FIGUEROA,,,27,,,,4481495.0,470018.0,AVDA,ESCUELAS PIAS PROFESIONALES-ALCALA DE HENARES,,cc.escuelaspiasprofesionales.alcala@educa.madrid.org,2,158,3,21,3,
Santander,,,1,918894642,http://www.educa.madrid.org/cc.anapellegrini.alcala,918836981,4481798.0,470615.0,CALLE,COLEGIO ANA PELLEGRINI,,cc.anapellegrini.alcala@educa.madrid.org,2,294,3,72,3,
Lope de Vega,,,1,918881475,http://www.centrocep.es,918777454,4482140.0,469455.0,CALLE,CENTRO DE ESTUDIOS PROFESIONALES (C.E.P.),,cc.cep.alcala@educa.madrid.org,2,299,3,58,3,
Octavio Paz,,,29,918303864,https://www.gsdeducacion.com/ ,918303871,4483691.0,469149.0,CALLE,GSD ALCALA,,cc.gredossandiego.alcala@educa.madrid.org,2,407,3,72,3,
Alejo Carpentier,,,27,918301912,http://www.educa.madrid.org/cc.alborada.alcala      www.colegioalborada.es,,4482761.0,468847.0,CALLE,COLEGIO ALBORADA,,cc.alborada.alcala@educa.madrid.org,2,438,3,72,3,
Río Tajuña,,,2,918816939,http://www.salesianosalcala.com,918823615,4479918.0,469239.0,CALLE,LAS NAVES SALESIANOS ALCALA,,cc.lasnavessalesianos.alcala@educa.madrid.org,2,448,3,58,3,
Batalla de Lepanto,918835635,,1,918881362,http://www.educa.madrid.org/cc.minerva.alcala,918881362,4481732.0,469753.0,CALLE,MINERVA,,cc.minerva.alcala@educa.madrid.org,3,467,3,72,3,
de Giner de los Ríos,689588824,918823311,12,679358418,http://www.leoleo.es,,4481403.0,469591.0,CALLE,LEO LEO,689586919,escuelainfantil@leoleo.es,3,631,3,8,3,
Daganzo,689794149,,"k1,5",918787622,www.losabetitos.com,,4482669.0,467640.0,CTRA,ABETITOS AND CHILDREN,,info@losabetitos.com,3,658,3,8,3,
de la Encomienda,667462974,,23,910732866,,,4481643.0,469566.0,CALLE,PARQUE BABY ALCALA,,babyalcala@babyalcalaescuelainfantil.com,3,673,3,8,3,
de los Curas,,,26,673492985,,,4480802.0,468814.0,PASEO,MONTESSORI VILLAGE ALCALA,,alcala@montessorivillage.es,3,732,3,8,3,
de Pasionistas,918192018,,10,910053936,www.cesurformacion.com,,4484254.0,467073.0,AVDA,CESUR OPEN SAN GABRIEL,,cesuropen@cesurformacion.com,3,770,3,58,3,
Brigadas Internacionales,605842065,,4,918024712,http://www.reinacristina.info,,4484338.0,470014.0,CALLE,REINA CRISTINA III,,gestion@reinacristina.info,3,778,3,8,3,
de la Alcarria,,,7,912618668,,,4482441.0,469126.0,AVDA,FANTASY SCHOOL,,escuelainfantilfantasyschool@gmail.com,3,780,3,8,3,
Dámaso Alonso,601282931,,7,918808872,http://www.lagranfamilia.es,,4482612.0,468282.0,CALLE,LA GRAN FAMILIA,,escuelainfantil@lagranfamilia.es,3,805,3,8,3,
Ciudad Residencial Universitaria,670448052,,2,918835984,,,4484155.0,470524.0,LUGAR,MI CASITA,,alfredo@escuelainfantilmicasita.com,3,813,3,8,3,
Obispo Acuña,609049939,,s/n,918881672,,,4480731.0,468650.0,CALLE,ASOCIADOS KYM,,kakobazan3@gmail.com,3,849,3,8,3,
Carabaña,601229773,,8,918789974,,,4482343.0,469235.0,CALLE,MI COLE,,educacioninfantilmicole@yahoo.es,3,912,3,8,3,
Juan Carlos I,613403635,,7,910 947 2,,,4481483.0,466603.0,AVDA,LA GARENA,,escuelainfantilmeraki@gmail.com,3,935,3,8,3,
José María Pereda,650080569,,32,918305197,,,4483359.0,469008.0,CALLE,EL PARQUE DEL ENSANCHE,,,3,953,3,8,3,
Campo Real,661710879,644721628,6,634486712,www.dulcelimonescuelainfantil.es,,4482774.0,467946.0,CALLE,DULCE LIMON,,dulcelimonei@gmail.com,3,966,3,8,3,
Córdoba,646537188,,1-3,918826659,http://www.eilaescuelita.com,,4481898.0,470660.0,CALLE,LA ESCUELITA,,direccion@eilaescuelita.com,3,1001,3,8,3,
Juan Carlos I,,,3,918302909,,,4481719.0,467095.0,AVDA,SAN MARINO,,circularsanmarino@hotmail.com,3,1003,3,8,3,
de la Esgaravita,918833410,,28,658223851,http://www.colorineshenares.com,918833410,4482239.0,470215.0,CMNO,COLORINES HENARES,,,3,1119,3,8,3,
Vicente Aleixandre,,,3,,,,4483000.0,468205.0,GTA,CUENTOS DE COLORES DE ALCALÁ,,,3,1163,3,8,3,
Flores,912802223,,4,,,,4481896.0,469129.0,CALLE,SAN LUIS,,,3,1194,3,8,3,
de Bulgaria,,,1,918815784,,,4481225.0,468070.0,CALLE,PRAVIA,,,3,1240,3,8,3,
Cárcel Vieja,,,5,918837249,http://www.escuelainfantilmarcopolo.es,,4481062.0,468899.0,CALLE,MARCO POLO,,escuelainfantilmarcopolo@gmail.com,3,1269,3,8,3,
del Empecinado,676800068,,30,676800068,http://www.escuelainfantilpanda.es,,4480850.0,468866.0,CALLE,PANDA,,escuelaipanda@gmail.com,3,1295,3,8,3,
Lope de Figueroa,,,27B,607773137,,,4481651.0,470116.0,AVDA,AFEN ESCUELA TECNICO DEPORTIVO,,info@afentd.com,3,1316,3,220,3,
Cogolludo,,,S/N,,,,4483074.0,471592.0,CALLE,ACADEF FP ALCALA,,,3,1402,3,58,3,
El Toboso,635852321,673641331,3,911495027,www.campusfp.es,,4480677.0,468830.0,CALLE,CAMPUS FP ALCALA DE HENARES IT & CIBER SEGURIDAD,,secretaria.alcala@campusfp.es,3,1526,3,58,3,
Benito Pérez Galdós,,,8,680515272,www.escuelanemomarlin.com,,4484300.0,468741.0,AVDA,NEMOMARLIN ALCALA DE HENARES,,alcalahenares@escuelanemomarlin.com,3,1579,3,8,3,
Río Bidasoa,,,1,,,,4479882.0,468633.0,CALLE,ALCALA INTERNATIONAL MONTESSORI SCHOOL (EE.UU.),,,3,1602,3,94,3,
del Marqués de la Valdavia,916624089,,91,916624593,http://www.educa.madrid.org/cp.garcialorca.alcobendas,916624084,4488554.0,445032.0,CALLE,FEDERICO GARCIA LORCA,,cp.garcialorca.alcobendas@educa.madrid.org,1,1,4,14,1,
de Miraflores,916512538,,59,916526807,http://www.educa.madrid.org/cp.machado.alcobendas,916639504,4488631.0,445886.0,CALLE,ANTONIO MACHADO,,cp.machado.alcobendas@educa.madrid.org,1,1,4,14,1,
de la Transición Española,,,11,916525466,http://www.educa.madrid.org/ies.ginerdelosrios.alcobendas,916511164,4487172.0,447429.0,AVDA,FRANCISCO GINER DE LOS RIOS,,ies.ginerdelosrios.alcobendas@educa.madrid.org,1,1,4,42,1,
de Valdelaparra,,,92,916616095,http://www.educa.madrid.org/cp.daoizyvelarde.alcobendas,916613142,4488551.0,443977.0,AVDA,DAOIZ Y VELARDE,,cp.daoizyvelarde.alcobendas@educa.madrid.org,1,1,4,14,1,
Olímpica,,,16,916528965,http://www.educa.madrid.org/cp.gabrielygalan.alcobendas,916538017,4487537.0,446354.0,AVDA,GABRIEL Y GALAN,,cp.gabrielygalan.alcobendas@educa.madrid.org,1,1,4,14,1,
del Doctor Casimiro Morcillo,,,51,916618407,http://www.educa.madrid.org/cp.emiliocasado.alcobendas,916619572,4488331.0,445104.0,CALLE,EMILIO CASADO,,cp.emiliocasado.alcobendas@educa.madrid.org,1,1,4,14,1,
de la Constitución,,,127,916536638,http://www.educa.madrid.org/cp.valdepalitos.alcobendas,912293733,4488821.0,445257.0,CALLE,VALDEPALITOS,,cp.valdepalitos.alcobendas@educa.madrid.org,1,1,4,14,1,
de Segovia,,,5,916532914,http://www.educa.madrid.org/cp.miguelhernandez.alcobendas,916638971,4488343.0,446211.0,CALLE,MIGUEL HERNANDEZ,,cp.miguelhernandez.alcobendas@educa.madrid.org,1,1,4,14,1,
